current,replaceWith
"concentrate,proppant,surfactant",multi
"concentrate,proppant,surfactant,frictionreducer",multi
"corrosioninhibitor,acid,ironcontrolagent,proppingagent",multi
"corrosioninhibitor,antifoamagent,acid,breaker,gellingagent,frictionreducer,ironcontrolagent,accelerator,fluidlossadditive,propping",multi
"corrosioninhibitor,antifoamagent,acid,breaker,gellingagent,frictionreducer,ironcontrolagent,fluidlossadditive,proppingagent",multi
"corrosioninhibitor,antifoamagent,acid,breaker,gellingagent,frictionreducer,rheologymodifier,ironcontrolagent,accelerator,proppingagen",multi
"corrosioninhibitor,bactericide(myacidega25),frictionreducer,scaleinhibitor,antifoamagent,surfactant,acid,breaker,gellingagent,ironco",multi
"corrosioninhibitor,bactericide(myacidega25),frictionreducer,scaleinhibitor,surfactant,acid,breaker,gellingagent,ironcontrolagent,cla",multi
"corrosioninhibitor,bactericide(myacidega25),scaleinhibitor,antifoamagent,acid,frictionreducer,rheologymodifier,gellingagent,ironcontr",multi
"corrosioninhibitor,bactericide(myacidega25),scaleinhibitor,antifoamagent,surfactant,acid,breaker,crosslinker,gellingagent,frictionreducer,ironcontrolagent,proppingagent,fluidlossadditive",multi
"corrosioninhibitor,bactericide(myacidega25),scaleinhibitor,antifoamagent,surfactant,acid,breaker,gellingagent,frictionreducer,ironco",multi
"corrosioninhibitor,bactericide(myacidega25),scaleinhibitor,antifoamagent,surfactant,acid,breaker,gellingagent,frictionreducer,rheolog",multi
"corrosioninhibitor,bactericide(myacidega25),scaleinhibitor,antifoamagent,surfactant,acid,frictionreducer,rheologymodifier,gellingagen",multi
"corrosioninhibitor,bactericide(myacidega25),scaleinhibitor,antifoamagent,surfactant,acid,gellingagent,frictionreducer,rheologymodifie",multi
"corrosioninhibitor,bactericide(myacidega25),scaleinhibitor,surfactant,acid,breaker,gellingagent,frictionreducer,ironcontrolagent,cla",multi
"corrosioninhibitor,bactericide(myacidega25),scaleinhibitor,surfactant,acid,breaker,gellingagent,frictionreducer,rheologymodifier,iron",multi
"corrosioninhibitor,defoamingagent,frictionreducer,ironcontrolagent,non-emulsifier",multi
"corrosioninhibitor,defoamingagent,frictionreducer,ironcontrolagent,non-emulsifier,acid,proppant-natural",multi
"corrosioninhibitor,divertingagent,surfactant,acid,breaker,gellingagent,additive,ironcontrolagent,industrialantimicrobial,chelatingagent,mutualsolvent",multi
"corrosioninhibitor,frictionreducer,acid,concentrate,viscosifier,proppant-natural",multi
"corrosioninhibitor,frictionreducer,ironcontrolagent,acid,proppant-natural",multi
"corrosioninhibitor,frictionreducer,ironcontrolagent,non-emulsifier,acid,proppant-natural",multi
"corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant",multi
"corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant,acid,biocide",multi
"corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant,additive,biocide",multi
"corrosioninhibitor,frictionreducer,non-ionicsurfactant,proppant,biocide",multi
"corrosioninhibitor,frictionreducer,proppant",multi
"corrosioninhibitor,gellingagent,frictionreducer,multifunctionaladditiveb392,surfactant,acid,breaker,additive,crosslinker,ironcontrolagent,industrialantimicrobial,activator,proppingagent",multi
"corrosioninhibitor,ironcontrolagent,breaker,gellingagent,frictionreducer,acid,proppant-natural",multi
"corrosioninhibitor,ironcontrolagent,non-emulsifier",multi
"corrosioninhibitor,ironcontrolagent,non-emulsifier,acid,proppant-natural",multi
"corrosioninhibitor,ironcontrolagent,proppant-natural,acid",multi
"corrosioninhibitor,proppant,basefluid,frictionreducer,biocide,scaleinhibitor",multi
"demulsifier,surfactant,breaker,additive,gellingagent,crosslinker,frictionreducer,activator,proppingagent",multi
"demulsifier,surfactant,breaker,additive,gellingagent,crosslinker,frictionreducer,claycontrolagent,activator,proppingagent",multi
"demulsifier,surfactant,breaker,frictionreducer,claycontrolagent,proppingagent",multi
"demulsifier,surfactant,breaker,gellingagent,frictionreducer,proppingagent",multi
"disinfectant,oxidizer,orbleachingagent",multi
"frictionreducer,nonimulsifier,biocide,scaleinhibitor",multi
"frictionreducer,proppant,biocide",multi
"frictionreducer,proppant-natural",multi
"frictionreducer,scalecontrol,specialitybrine,biotechnology,proppant",multi
"frictionreducer,scaleinhbitor,additive",multi
"frictionreducer,scaleinhibitor,additive",multi
"frictionreducer,scaleinhibitor,specialitybrine,biotechnology",multi
"frictionreducer,specialitybrine,biotechnology,proppant",multi
"frictionreducer,surfactant,breaker,additive,gellingagent,claycontrolagent,proppingagent,fluidlossadditive",multi
"frictionreducer,surfactant,breaker,additive,gellingagent,crosslinker,chelatingagent,proppingagent,fluidlossadditive",multi
"frictionreducer,surfactant,breaker,additive,gellingagent,crosslinker,claycontrolagent,proppingagent",multi
"frictionreducer,surfactant,breaker,demulsifier,fluidlossadditive,proppingagent",multi
"frictionreducer,surfactant,breaker,demulsifier,proppingagent,fluidlossadditive",multi
"frictionreducer,surfactant,breaker,gellingagent,claycontrolagent,antifoamagent,fluidlossadditive,proppingagent",multi
"frictionreducer,surfactant,breaker,gellingagent,claycontrolagent,fluidlossadditive,proppingagent",multi
"frictionreducer,surfactant,breaker,gellingagent,claycontrolagent,proppingagent,fluidlossadditive",multi
"frictionreducer,surfactant,breaker,gellingagent,claycontrolagent,stabilizingagent,antifoamagent,proppingagent,fluidlossadditive",multi
"frictionreducer,surfactant,breaker,gellingagent,crosslinker,activator,demulsifier,fluidlossadditive,proppingagent",multi
"frictionreducer,surfactant,breaker,gellingagent,crosslinker,activator,demulsifier,proppingagent,fluidlossadditive",multi
"frictionreducer,surfactant,breaker,gellingagent,demulsifier,fluidlossadditive,proppingagent",multi
"frictionreducer,surfactant,breaker,gellingagent,demulsifier,proppingagent",multi
"frictionreducer,surfactant,breaker,gellingagent,demulsifier,proppingagent,fluidlossadditive",multi
"frictionreducer,surfactant,crosslinker,activator,demulsifier,proppingagent",multi
"frictionreducer,surfactant,demulsifier,fluidlossadditive,proppingagent",multi
"frictionreducer,surfactant,demulsifier,proppingagent,fluidlossadditive",multi
"frictionreducers,gellingagents,inhibitor,ironcontrol,ironcontrol,surfactant,acid",multi
"gellingagent,antifoamagent,surfactantf113,breaker,frictionreducer,lowtemperaturefiber,divertingagent,claycontrolagent,stabilizingagent,modifiedshortcutfinefiberxe286,proppingagent",multi
"gellingagent,breaker,breakeraid,crosslinker,emulsionpreventer,proppingagent",multi
"gellingagent,crosslinker,breaker,frictionreducer,corrosioninhibitor,ironcontrolagent,claystabilizer,proppant-natural,proppant-resincoated,acid",multi
"gellingagent,crosslinker,frictionreducer,breaker,corrosioninhibitor,ironcontrolagent,claystabilizer,proppant-natural,proppant-resincoated,acid",multi
gelstabilizer;antioxidant;reducingagent,multi
"guarpolymerslurry,surfactant,breaker,crosslinker,scaleinhibitor,additive,bactericide,proppingagent",multi
"inhibitoraid,corrosioninhibitor,bactericide(myacidega25),frictionreducer,antifoamagent,surfactant,acid,stabilizingagent,breaker,gellingagent,crosslinker,ironcontrolagent,buffer,activator,fluidlossadditive,proppingagent",multi
"inhibitoraid,corrosioninhibitor,bactericide(myacidega25),frictionreducer,surfactant,acid,breaker,additive,gellingagent,crosslinker,ironcontrolagent,stabilizingagent,activator,fluidlossadditive,proppingagent",multi
"inhibitoraid,corrosioninhibitor,bactericide(myacidega25),frictionreducer,surfactant,acid,breaker,stabilizingagent,gellingagent,crosslinker,ironcontrolagent,activator,fluidlossadditive,proppingagent",multi
"inhibitoraid,corrosioninhibitor,bactericide(myacidega25),surfactant,acid,breaker,additive,gellingagent,crosslinker,ironcontrolagent,scaleinhibitor,claycontrolagent,activator,chelatingagent,demulsifier,proppingagent",multi
"inhibitoraid,corrosioninhibitor,surfactant,acid,stabilizingagent,breaker,additive,gellingagent,crosslinker,ironcontrolagent,claycontrolagent,activator,chelatingagent,proppingagent",multi
"ironcontrol,acidcorrosioninhibitor,frictionreducer,cleanperforations",multi
"ironcontrol,scaleinhibitor,acidcorrosioninhibitor,biocide,cleanperforations,",multi
"ironreducer,corrosioninhibitor,demulsifier,anti-sludge,corrosioninhibitorintensifier,claycontrol,biocide,cleanperforations",multi
"ironreducer,corrosioninhibitor,demulsifier,anti-sludge,frictionreducer,claycontrol,surfactant,biocide,cleanperforations",multi
mixture,multi
multifuncationaladdititve,multi
multifuncationaladditive,multi
"multifunctionaladditiveb392,breaker,gellingagent,crosslinker,industrialantimicrobial,emulsionpreventer,proppingagent",multi
"phcontroladditive,proppant,solvent",multi
"proppant,acidcorrosioninhibitors,anti-bacterialagent,gellingagents,gelbreakers,frictionreducer,surfactants&foamers,bulkacid,basefluid,phbuffer,scaleinhibitor",multi
"proppant,acidizing,acidinhibitor",multi
"proppant,acidizing,acidinhibitor,frictionreducer",multi
"proppant,acidizing,acidinhibitor,frictionreducer,biocide,scaleinhibitor,ironcontrol,viscosifier,breaker",multi
"proppant,acidizing,acidinhibitor,frictionreducer,biocide,scaleinhibitor,viscosifier,breaker",multi
"proppant,acidizing,acidinhibitor,frictionreducer,viscosifier,breaker",multi
"proppant,acidizing,acidinhibitor,viscosifier,breaker",multi
"proppant,breaker,breaker,crosslinkcontrol,frictionreducers,gellingagents,inhibitor,ironcontrol,ironcontrol,surfactant,acid",multi
"proppant,breaker,breaker,frictionreducers,gellingagents,inhibitor,ironcontrol,ironcontrol,surfactant,acid",multi
"proppant,breaker,breaker,gellingagents,inhibitor,ironcontrol,ironcontrol,surfactant,acid",multi
"proppant,breaker,crosslinkcontrol,crosslinkcontrol,frictionreducers,gellingagents,inhibitor,ironcontrol,ironcontrol,phadjustingagents,surfactant,acid",multi
"proppant,breaker,gellingagent",multi
"proppant,nonemulsifier,corrosioninhibitor,ironcontrol,acidizing",multi
"proppant,proppant,crosslinkagent,crosslinkagent,buffer,surfactant,breaker,breakercatalyst,breakercatalyst,frictionreducer,gellingagent
",multi
"proppant,proppant,solvent,crosslinkagent,crosslinkagent,buffer,surfactant,breaker,breakercatalyst,breakercatalyst,frictionreducer,gellingagent,breakercatalyst",multi
"proppant,proppant,solvent,crosslinkagent,crosslinkagent,buffer,surfactant,breakerbreakercatalyst,breakercatalyst,frictionreducer,gellingagent,breakercatalyst",multi
"proppant,solvent,crosslinkagent,crosslinkagent,buffer,suractant,breaker,breakercatalyst,breakercatalyst,frictionreducer,gellingagent",multi
"proppant-ceramic,gellingagent,claystabilizer,crosslinker,breaker,surfactant,anti-bacterialagent,frictionreducer",multi
"proppant-natural,acid,frictionreducer,gellingagent,breaker,crosslinker,ironcontrolagent,corrosioninhibitor",multi
"proppant-natural,acid,frictionreducer,ironcontrolagent,corrosioninhibitor",multi
"proppant-natural,acid,frictionreducer,ironcontrolagent,corrosioninhibitor,non-emulsifier",multi
"proppant-natural,acid,gellingagent,frictionreducer,breaker,crosslinker,ironcontrolagent,corrosioninhibitor",multi
"proppant-natural,acid,gellingagent,frictionreducer,breaker,crosslinker,ironcontrolagent,corrosioninhibitor,breaker",multi
"proppant-natural,acid,gellingagent,frictionreducer,breaker,ironcontrolagent,corrosioninhibitor",multi
"proppant-natural,acid,gellingagent,frictionreducer,breaker,ironcontrolagent,corrosioninhibitor,crosslinker,breaker",multi
"proppant-natural,acid,gellingagent,frictionreducer,crosslinker,breaker,ironcontrolagent,corrosioninhibitor",multi
"proppant-natural,acid,gellingagent,frictionreducer,ironcontrolagent,corrosioninhibitor,breaker",multi
"proppant-natural,acid,kclsubstitute,gellingagent,frictionreducer,anti-bacterialagent,crosslinker,breaker,scaleinhibitor,ironcontrolagent,corrosioninhibitor",multi
"proppant-natural,gellingagent,acid,frictionreducer,breaker,crosslinker,ironcontrolagent,corrosioninhibitor,breaker",multi
"proppant-natural,proppant-resincoated,gellingagent,crosslinker,acid,gellingagent,breaker,frictionreducer,corrosioninhibitor,ironcontrolagent,claystabilizer",multi
"proppingagent,acid,biocide,corrosioninhibitor,frictionreducer,surfactant",multi
"proppingagent,acidcorrosioninhibitor,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,biocide,biocide,biocide,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,biocide,biocide,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,biocide,biocide,microbiocide,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,biocide,biocide,microbiocide,microbiocide,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,biocide,biocide,oilfieldchemical,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,biocide,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,biocide,microbiocide,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,biocide,microbiocide,microbiocide,blockingagent,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,biocide,microbiocide,microbiocide,blockingagnet,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,biocide,microbiocide,microbiocide,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,biocidemicrobiocide,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,blockingagent,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,breaker,surfactant,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,claycontrol,biocide,non-emulsifier,resinactivator,cleanperforations,",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,claycontrol,non-emulsifier,resinactivator,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,claycontrol,non-emulsifier,resinactivator,cleanperforations,",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,claycontrol,resinactivator,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,claycontrol,resinactivator,cleanperforations,",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,claycontrol,surfactant,biocide,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,claycontrol,surfactant,biocide,cleanperforations,",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,claycontrol,surfactant,cleanperforations,",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,frictionreducer,biocide,microbiocide,microbiocide,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,frictionreducer,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,frictionreducer,frictionreducer,non-emulsifier,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,frictionreducer,non-emulsifier,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,microbiocide,microbiocide,blockingagnet,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,microbiocide,microbiocide,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,non-emulsifier,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,surfactant,biocide,biocide,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,surfactant,biocide,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,frictionreducer,surfactantbiocide,biocide,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,crosslinker,crosslinker,frictionreducer,biocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,crosslinker,crosslinker,frictionreducer,breaker,biocide,surfactant,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,crosslinker,crosslinker,frictionreducer,breaker,breaker,biocide,surfactant,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,crosslinker,crosslinker,frictionreducer,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,crosslinker,frictionreducer,biocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,crosslinker,frictionreducer,biocide,surfactant,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,crosslinker,frictionreducer,breaker,biocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,crosslinker,frictionreducer,breaker,biocide,surfactant,breaker,blockingagent,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,crosslinker,frictionreducer,breaker,biocide,surfactant,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,crosslinker,frictionreducer,breaker,breaker,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,crosslinker,frictionreducer,breaker,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,crosslinker,frictionreducer,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,crosslinker,phbuffer,frictionreducer,breaker,claycontrol,biocide,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,crosslinker,phbuffer,phbuffer,claycontrol,biocide,biocide,non-emulsifier,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,crosslinker,phbuffer,phbuffer,frictionreducer,breaker,claycontrol,surfactant,biocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,crosslinker,phbuffer,phbuffer,frictionreducer,claycontrol,non-emulsifier,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,crosslinker,phbuffer,phbuffer,frictionreducer,non-emulsifier,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,frictionreducer,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,frictionreducer,non-emulsifier,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,gelslurry,phbuffer,frictionreducer,breaker,non-emulsifier,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,claycontrol/activator,gelslurry,surfactant,breaker,breaker,non-emulsifier,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,claycontrol/activator,gelslurry,surfactant,surfactant,breaker,breaker,breaker,non-emulsifier,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,claycontrol/activator,gelslurry,surfactant,surfactant,breaker,breaker,non-emulsifier,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,breaker,claycontrol,biocide,non-emulsifier,cleanperforations,",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,crosslinker,phbuffer,frictionreducer,surfactant,biocide,biocide,biocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,frictionreducer,breaker,claycontrol,surfactant,biocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,frictionreducer,breaker,claycontrol,surfactant,breaker,cleanperforations,",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,frictionreducer,claycontrol,surfactant,biocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,phbuffer,claycontrol,surfactant,breaker,cleanperforations,",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,phbuffer,frictionreducer,biocide,biocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,phbuffer,frictionreducer,breaker,breaker,claycontrol,biocide,non-emulsifier,resinactivator,cleanperforations,",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,phbuffer,frictionreducer,breaker,claycontrol,surfactant,biocide,cleanperforations,",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,phbuffer,frictionreducer,breaker,surfactant,biocide,biocide,biocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,phbuffer,frictionreducer,claycontrol,biocide,biocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,phbuffer,frictionreducer,claycontrol,non-emulsifier,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,phbuffer,frictionreducer,claycontrol,surfactant,biocide,biocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,phbuffer,frictionreducer,claycontrol,surfactant,biocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,phbuffer,frictionreducer,claycontrol,surfactant,biocide,breaker,cleanperforations,",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,phbuffer,frictionreducer,surfactant,biocide,biocide,biocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,phbuffer,frictionreducer,surfactant,biocide,biocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,phbuffer,frictionreducer,surfactant,biocide,biocide,breaker,salt,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,phbuffer,frictionreducer,surfactant,biocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,crosslinker,phbuffer,frictionreducer,surfactant,biocide,microbiocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,frictionreducer,biocide,biocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,phbuffer,gelslurry,frictionreducer,surfactant,biocide,biocide,biocide,breaker,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,viscosifier,cleanperforations",multi
"proppingagent,acidcorrosioninhibitor,viscosifier,non-emulsifier,cleanperforations",multi
"proppingagent,anti-sludge,gellingagent,activator,breaker",multi
"proppingagent,breakeraid,acidcorrosioninhibitor,phbuffer,gelslurry,breaker,claycontrol,waterfoamer,biocide,cleanperforations",multi
"proppingagent,chelatingagent,acidcorrosioninhibitor,gelslurry,crosslinker,crosslinker,phbuffer,frictionreducer,breaker,claycontrol,surfactant,microbiocide,surfactant,breaker,cleanperforations",multi
"proppingagent,chelatingagent,scaleinhibitor,acidcorrosioninhibitor,gelslurry,crosslinker,acidblend,frictionreducer,breaker,claycontrol,surfactant,biocide,cleanperforations",multi
"proppingagent,frictionreducer,biocide,biocide",multi
"proppingagent,frictionreducer,biocide,biocide,biocide",multi
"proppingagent,frictionreducer,biocide,biocide,microbiocide",multi
"proppingagent,frictionreducer,biocide,divertingagent",multi
"proppingagent,frictionreducer,breaker,surfactant",multi
"proppingagent,frictionreducer,claycontrol,biocide,non-emulsifier,resinactivator,",multi
"proppingagent,frictionreducer,claycontrol,non-emulsifier",multi
"proppingagent,frictionreducer,claycontrol,surfactant,biocide",multi
"proppingagent,frictionreducer,claycontrol,surfactant,biocide,",multi
"proppingagent,frictionreducer,cleanperforations",multi
"proppingagent,frictionreducer,microbiocide,microbiocide,cleanperforations",multi
"proppingagent,frictionreducer,surfactant",multi
"proppingagent,frictionreducer,surfactant,biocide",multi
"proppingagent,frictionreducer,waterfoamer,resinactivator,",multi
"proppingagent,gellingagent,activator,breaker",multi
"proppingagent,gelslurry,breaker,cleanperforations",multi
"proppingagent,gelslurry,crosslinker,crosslinker,frictionreducer,biocide,breaker",multi
"proppingagent,gelslurry,crosslinker,crosslinker,frictionreducer,biocide,surfactant,breaker",multi
"proppingagent,gelslurry,crosslinker,crosslinker,frictionreducer,breaker",multi
"proppingagent,gelslurry,crosslinker,crosslinker,frictionreducer,breaker,biocide,breaker",multi
"proppingagent,gelslurry,crosslinker,crosslinker,frictionreducer,breaker,biocide,surfactant,breaker",multi
"proppingagent,gelslurry,crosslinker,crosslinker,frictionreducer,frictionreducer,breaker,biocide,breaker,non-emulsifier",multi
"proppingagent,gelslurry,crosslinker,crosslinker,phbuffer,frictionreducer,claycontrol,surfactant,biocide,breaker",multi
"proppingagent,gelslurry,crosslinker,frictionreducer,biocide,breaker",multi
"proppingagent,gelslurry,crosslinker,frictionreducer,biocide,surfactant,breaker",multi
"proppingagent,gelslurry,crosslinker,frictionreducer,breaker",multi
"proppingagent,gelslurry,crosslinker,frictionreducer,breaker,biocide,breaker",multi
"proppingagent,gelslurry,crosslinker,frictionreducer,breaker,biocide,surfactant",multi
"proppingagent,gelslurry,crosslinker,frictionreducer,breaker,biocide,surfactant,breaker",multi
"proppingagent,gelslurry,crosslinker,frictionreducer,breaker,breaker",multi
"proppingagent,gelslurry,crosslinker,phbuffer,claycontrol,non-emulsifier,breaker,",multi
"proppingagent,gelslurry,crosslinker,phbuffer,frictionreducer,breaker,claycontrol,surfactant,biocide",multi
"proppingagent,gelslurry,crosslinker,phbuffer,phbuffer,breaker,claycontrol,biocide,biocide,non-emulsifier,breaker",multi
"proppingagent,gelslurry,crosslinker,phbuffer,phbuffer,breaker,claycontrol,biocide,non-emulsifier,breaker",multi
"proppingagent,gelslurry,crosslinker,phbuffer,phbuffer,claycontrol,biocide,biocide,non-emulsifier,breaker",multi
"proppingagent,gelslurry,crosslinker,phbuffer,phbuffer,claycontrol,biocide,breaker",multi
"proppingagent,gelslurry,crosslinker,phbuffer,phbuffer,frictionreducer,claycontrol,non-emulsifier,breaker",multi
"proppingagent,gelslurry,crosslinker,phbuffer,phbuffer,frictionreducer,claycontrol,non-emulsifier,breaker,",multi
"proppingagent,gelslurry,crosslinker,phbuffer,phbuffer,frictionreducer,non-emulsifier,breaker",multi
"proppingagent,gelslurry,frictionreducer,breaker,non-emulsifier,cleanperforations",multi
"proppingagent,gelslurry,frictionreducer,breaker,non-emulsifier,cleanperforations,cleanperforations",multi
"proppingagent,gelslurry,phbuffer,breaker,claycontrol,biocide,non-emulsifier,",multi
"proppingagent,gelslurry,viscosifier,breaker,non-emulsifier",multi
"proppingagent,gelslurry,viscosifier,breaker,non-emulsifier,blockingagnet",multi
"proppingagent,ironcontrol,acidcorrosioninhibitor,acidcorrosioninhibitor,gelslurry,crosslinker,crosslinker,phbuffer,frictionreducer,claycontrol,surfactant,biocide,breaker,cleanperforations",multi
"proppingagent,ironcontrol,acidcorrosioninhibitor,frictionreducer,breaker,claycontrol,surfactant,biocide,cleanperforations",multi
"proppingagent,ironcontrol,acidcorrosioninhibitor,gelslurry,crosslinker,crosslinker,phbuffer,frictionreducer,breaker,breaker,breaker,claycontrol,surfactant,biocide,breaker,cleanperforations",multi
"proppingagent,ironcontrol,acidcorrosioninhibitor,gelslurry,crosslinker,crosslinker,phbuffer,frictionreducer,breaker,breaker,breaker,claycontrol,surfactant,breaker,cleanperforations",multi
"proppingagent,ironcontrol,acidcorrosioninhibitor,gelslurry,crosslinker,crosslinker,phbuffer,frictionreducer,breaker,surfactant,breaker,cleanperforations",multi
"proppingagent,ironcontrol,acidcorrosioninhibitor,gelslurry,crosslinker,crosslinker,phbuffer,frictionreducer,surfactant,breaker,cleanperforations",multi
"proppingagent,ironcontrol,acidcorrosioninhibitor,gelslurry,crosslinker,crosslinker,phbuffer,phbuffer,frictionreducer,biocide,breaker,cleanperforations",multi
"proppingagent,ironcontrol,acidcorrosioninhibitor,gelslurry,crosslinker,crosslinker,phbuffer,phbuffer,frictionreducer,claycontrol,surfactant,biocide,breaker,cleanperforations",multi
"proppingagent,ironcontrol,acidcorrosioninhibitor,gelslurry,crosslinker,frictionreducer,breaker,claycontrol,surfactant,microbiocide,cleanperforations",multi
"proppingagent,ironcontrol,acidcorrosioninhibitor,gelslurry,crosslinker,phbuffer,viscosifier,breaker,breaker,surfactant,non-emulsifier,cleanperforations",multi
"proppingagent,ironcontrol,acidcorrosioninhibitor,gelslurry,crosslinker,viscosifier,breaker,breaker,surfactant,non-emulsifier,cleanperforations",multi
